year;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia  Plurinational State of;Bosnia and Herzegovina;Botswana;Bouvet Island;Brazil;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Chile;China;Christmas Island;Colombia;Comoros;Congo;Congo  Democratic Republic of the;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Eswatini;Ethiopia;Faroe Islands;Fiji;Finland;France;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong  China;Hungary;Iceland;India;Indonesia;Iran  Islamic Republic of;Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Korea  Republic of;Kuwait;Kyrgyzstan;Latvia;Lebanon;Lesotho;Libya  State of;Lithuania;Luxembourg;Macedonia  North;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Mauritania;Mauritius;Mexico;Micronesia  Federated States of;Moldova  Republic of;Mongolia;Montenegro;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Norway;Oman;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Qatar;Romania;Russian Federation;Rwanda;Saint Kitts and Nevis;Samoa;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;South Africa;Spain;Sri Lanka;Suriname;Sweden;Switzerland;Tajikistan;Tanzania  United Republic of;Thailand;Togo;Tunisia;Turkey;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States of America;Uruguay;Venezuela  Bolivarian Republic of;Viet Nam;Yemen;Zambia;Zimbabwe
2001;;1,761161407;2,274235629;0;1,996374943;;3,674021417;;0,471423076;1,801944494;;0,285760842;0,315862145;1,941820164;1,622047972;1,834364422;1,865162218;1,587887566;0,553891769;0,239553186;3,999017881;2,925720187;;;1,609261995;;1,250591052;0;0,377855624;0,52311465;2,379725909;4,645116325;4,573444125;2,373971528;1,92791347;0,267931734;3,001895063;3,674831973;3,522020554;0,636964386;0,241816084;4,596771378;0,645781856;5,198128639;;2,630971506;;0,947229474;1,266549069;0,5713711;1,859507121;1,130044944;0,287145793;0,328209315;;3,04216587;1,933478929;1,460097603;1,226765975;1,071242159;3,511997621;;0,552660026;1,066575203;2,923374483;4,109415607;;0,370514132;0,244350041;2,59890692;2,161618722;3,781480339;1,83512767;0,239380545;1,873011471;2,525728644;0,448173559;3,137493308;0;0,765459376;2,845378723;;2,015167186;;1,536244684;0,30666396;0,564581041;1,741890489;0,29568852;0,368474968;0,985199742;;0,487996648;0,863317426;0,238509285;1,849853659;0,281548883;1,151746793;1,108383516;0,9361681;0,333894916;2,327192122;1,541027961;0,748100436;0,890250823;2,7630362;;0,541942219;0,689478676;1,082063246;1,453800243;1,985966018;0,350405331;4,649555057;2,497150231;2,214267949;6,296740928;1,050356222;0,314668746;;1,483511119;2,552406638;;0,972051907;2,058388132;;0,930778277;3,268895581;;0,261630179;1,88943869;0,489772215;1,66844303;2,540112175;3,483993077;0,454835127;1,821596619;;2,546854673;2,44145933;0,889178015;0,903856017;0,657477665;0,413812812;3,46366193;0,568517617;0,358723171;3,349904087;3,090317816;2,609129909;1,207772395;1,648382134;;3,468638662;;0,275156925;0,431604947;0,459641518;0,274765006;0,241437973;0,935135191;2,486697161;0,28832454;0,289074159;;1,907161146;0,374899747;2,510929408;0,925029599;0,360808813;1,976274353;0,617449011;;0,234394696;0,215187682;1,373489203;0,870521211;0,94592377;;1,971187677;1,776989657
2002;;1,676830841;1,867315073;0;1,804189839;;2,225087906;;0,332117481;1,761290568;;0,228288618;0,22450394;1,925488868;1,540790646;0,210205328;1,784596531;1,455568671;0,260321651;0,143210178;3,995249473;2,867105514;;;1,5098333;;1,233860765;0;0,309277259;0,386924084;2,234361744;4,593274609;4,267200534;2,314753466;1,918881618;0,195520162;2,421722041;3,619247959;3,393730463;0,571415986;0,18823726;1,538590869;0,511519174;5,116600277;;2,380683749;;0,941522372;1,263951391;0,394557816;1,817213728;0,899089892;0,211402473;0,265646062;;2,860000594;1,796583292;1,36269025;1,194099756;0,99053593;3,495401166;;0,449516927;1,014239459;2,88846027;4,094365698;1,248697746;0,142272747;0,178492805;2,522461993;2,155181146;1,126146484;1,766267602;0,179544264;0;1,945676695;0,301747611;3,021248641;0;0,713075297;2,622054813;;1,978638109;;1,418213468;0,173462349;0,497927252;1,687403172;0,293733893;0,367705282;0,669975253;;0,202798066;0,854239551;0,162282104;1,835452842;0,197685962;1,100864897;1,068663342;0,559165541;0,152666878;2,253088195;1,492088562;0,680065999;0,813302575;2,464906601;;0,263188245;0,632989897;0,991233627;1,265999525;1,925944304;0,144913032;4,4854549;2,350784083;0,528186068;6,296512845;0,941968265;0,287316402;5,703782475;1,448075263;0;;0,869965138;1,944657941;;0,864843647;1,626159101;;0,165274807;1,875125402;0,441722176;1,561081268;2,317551413;3,18213194;0,391999857;1,758962116;;2,530928573;2,430862447;0,788142688;0,899110863;0,531668968;0,314107432;3,354518471;0,432069578;0,208223589;1,125795133;2,719648191;2,174281532;1,035564462;1,590562956;;2,558503118;4,206533562;-0,033275214;0,303268189;0,400725547;0,201915194;0,172584388;0,900374813;0;0,187705643;0,176852383;;1,873163907;0,275930384;2,38529125;0,858768801;0,307790147;1,778940102;0,608217468;;0,148958081;0,118535506;1,021332172;0,864906965;0,920432453;;1,571341207;1,408819905
2003;;1,560697371;1,928995007;0;1,69089362;;2,037246715;;0,323668638;1,710037716;;0,227657308;0,199589809;1,903413844;1,454415699;0,166874551;1,709767231;1,370880539;0,227167204;0,126032645;3,489944669;2,772466554;;;1,509589648;0,930734557;-0,061337381;0;0,304580071;0,381014541;2,328656395;4,453753854;4,148459131;2,305654692;1,913200784;0,187284305;2,899003004;3,656117326;2,581225965;0,538005387;0,187037876;2,961898257;0,494880031;5,052864412;;2,290406948;;0,862548958;1,204138312;0,391681605;1,697703641;0,84309149;0,244595799;0,267542396;;2,976832106;1,756059018;1,320921063;1,152185664;0,983679418;3,485394145;3,425528592;0,456970976;0,888049075;2,815905311;4,106009028;1,213476376;0,14489258;0,177393507;2,426361333;2,141053996;2,300281511;1,732425142;0,181621988;1,967856606;2,614248386;0,320092897;3,112500043;0;0,697554446;0;5,374722698;1,948904593;;1,410432069;0,166612893;0,478412239;1,680492541;0,231270064;0,366874574;0,831206886;;0,268662971;0,807025655;0,160777844;1,830713764;0,197471607;0,981270209;1,079135695;0,512394107;0,157028456;2,231884747;1,417691928;0,670082289;0,807055879;2,664436826;;0,246767819;0,61851659;0,925217292;1,13492471;1,906686449;0,111492362;4,530380328;2,464490244;0,495188527;6,296536215;0,941940178;0,27580231;5,703782475;1,373399014;2,241159264;;0,896151484;0,446900015;;0,821949437;1,449116936;1,692089127;0,123489391;1,829570458;0,441827364;1,566004736;2,329057765;3,406018192;0,383291259;1,773709893;0,92925173;2,483487254;2,317451305;0,781339943;0,899428859;0,568926078;0,292960625;3,172956726;0,438345789;0,210491498;2,962015106;2,814970074;2,372300594;1,01984984;1,392637702;;2,692807133;0;-0,043507597;0,327025326;0,40199074;0,200673569;0,167078137;0,875925644;0;0,187010085;0,181036635;;1,851892861;0,262519652;1,666028627;0,81511069;0,307715886;1,702602374;0,603211532;;0,16376211;0,112209638;1,012059513;0,853875892;0,896567861;;1,571201815;1,410537811
2004;;1,414423785;1,993278098;;1,467989197;2,313974532;1,270873072;;0,328519573;1,662819829;;0,228936946;0,20215494;1,713006108;1,269418235;0,115958776;1,686814359;1,325437367;0,182038261;0,119499744;3,383778656;2,74818769;;;1,482954013;0,83045175;-0,053186214;0;0,307066451;0,351543623;2,266168233;4,46125025;4,500711365;2,295595245;1,915950592;0,182932488;2,743057702;0;0,119561156;0,562483256;0,18641149;4,144270908;0,487193467;4,975923833;;2,175139924;;0,846214604;0,923507162;0,366221071;1,657932437;0,881443491;0,247129543;0,265891466;;2,957361998;1,725539818;1,338872055;1,161784001;0,961290335;3,491808003;1,057831991;0,415824686;0,993486475;2,338675114;4,058658145;1,17458168;0,135559993;0,176474321;2,679718479;2,068567628;0,384165812;1,696916881;0,177388128;2,153063677;2,071861851;0,325774075;3,046455152;0;0,67679007;2,733576417;5,26391814;1,995061551;;1,387891774;0,156903595;0,454491515;1,654012446;0,168592578;0,36449428;0,78408839;;0,271005264;0,803474016;0,161128443;1,75382509;0,200258432;0,938764433;1,012310114;0,465028524;0,153777009;2,261142294;1,429251372;0,607630466;0,798442687;0;;0,190141906;0,614279731;0,917057776;1,294785299;1,815415654;0,132437732;3,594658746;2,397645317;0,465087209;6,270684135;0,933001996;0,273680312;5,703782475;1,160601019;1,934630092;;0,867966785;0,282246898;;0,844886861;0,278449262;0;0,109913115;1,810769131;0,444513254;1,549353301;2,301111357;0;0,38429863;1,749750306;0,917805893;2,426666276;2,31743912;0,782325644;0,893147136;0,554902322;0,317025556;2,779772355;0,418266792;0,210262541;2,990930436;2,763507447;2,39931914;0,969389397;1,006699842;;3,446619831;0;-0,063775063;0,307102468;0,398095272;0,213154429;0,167686564;0,870664763;5,068848418;0,185840082;0,180510826;;1,75375392;0,263686568;2,315971307;0,838115028;0,307742563;1,713376342;0,604585512;;0,153280265;0,113052989;0,98997112;0,861871068;0,829918172;1,961678037;1,844764797;1,37916863
2005;;1,474709117;2,027297777;0;0;2,236402075;2,237317419;2,143016414;0,32108872;1,649468887;4,126400978;0,237021407;0,197726072;1,046703489;1,21362528;0,083338113;1,662219664;1,366989492;0,106593077;0,100503975;3,295031163;2,603360857;;2,943338062;1,52374429;0,735079829;-0,037024722;0;0,304368871;0,302115881;2,246672168;4,376374092;2,420939107;2,279479794;2,152048646;0,181701547;2,634027967;0;0,055027532;0,554171472;0,183836081;3,682188651;0,485957893;4,702229436;;2,426619084;5,556092362;0,674133851;0,786663479;0,354424723;1,638383514;0,669369402;0,218916998;0,258598931;;2,847569815;1,652038167;1,331783357;0,8684079;0,784387936;3,47322035;0,480516651;0,325096044;0,946326279;1,87471324;4,095505122;1,604552239;0,161360154;0,1638367;2,538761803;2,088105876;1,763841746;1,626994657;0,173582224;1,42191172;0,555074385;0,295006044;2,865513146;0;0,671668465;2,574477823;5,334427636;1,944217942;;1,394320288;0,151499851;0,456703281;1,523653604;0,143615675;0,365123517;0,870973211;;0,225730112;0,847445801;0,150633315;1,61790984;0,20176694;0,929779284;0,978748839;0,518294477;0,135140277;0;1,260041675;0,516113528;0,792447694;0;;0,158293668;0,601502053;0,854448915;1,227186814;1,717488957;0,141175761;2,704697159;2,354784186;0,551045337;6,253140844;0,948707542;0,271102923;5,703782475;1,107763376;1,916468341;;0,857304983;0,306796117;;0,730827173;1,080524772;0;0,106365198;1,795781075;0,444938558;1,513372123;1,735405447;0;0,378512217;1,69874843;0,901335148;2,409263515;2,295878505;0,723297871;0,887043174;0,557188871;0,279813794;2,848282234;0,371898133;0,171536457;2,913789545;2,753964236;2,243709077;0,974993199;0,947017407;;1,96848635;0;0,125388979;0,274812708;0,404618744;0,216539078;0,160383408;0,865269626;2,459085855;0,176421027;0,177005265;;1,680203719;0,240192481;2,089223082;0,819432682;0,293287784;1,709812835;0,592772054;0,304170723;0,145082476;0,116019401;0,992317453;0,862731548;0,843935092;1,946937688;1,77478816;1,031033465
2006;;1,450240631;2,028264562;0;1,256682169;2,033054876;2,161221436;0;0,326738822;1,60114501;4,093912725;0,241522682;0,195589606;1,215520051;0,898919955;0,04400253;1,685542794;0,713498532;0,054884859;0,094105604;3,49708789;2,493671278;;2,244978899;1,53720043;0,790247599;-0,028276526;0;0,296587736;0,263696708;0;2,445008508;0,222634229;2,303456189;1,651627044;0,184073461;3,265244594;7,153152254;0,02857755;0,563269095;0,1809943;3,333102621;0,453953894;0;;2,241585785;1,392118938;0,576123921;0,794546444;0,366204671;0,242543779;0,559109476;0,221119296;0,253932953;;2,974076972;1,797902237;1,308318182;0,70388964;0,780576427;3,458429828;0,210581768;0,213896997;0,915755342;1,212742709;3,965154518;1,180064764;0,157223136;0,163242782;2,451989438;2,082942879;2,901414243;1,534876673;0,173850161;1,649129104;1,255975316;0,250239863;2,882602776;0;0,674406;2,657137146;0;1,840182281;;1,065092218;0,142379656;0,473450188;1,42187014;0,090548446;0,358947625;0,937028529;;0,213880724;0,846491798;0,150681335;1,448400576;0,203295671;0,915144226;0,97100185;0,701006457;0,134817484;1,53360005;0,949498748;0,569994243;0,795279848;0;;0,193446282;0,597118573;0,827176284;1,177632471;1,706040784;0,145252974;4,379496851;2,439160026;0,394899563;0;0,921306091;0,272560454;5,976321024;1,159095213;1,683148021;1,629941216;0,867987769;0,199549939;;0,786188458;0,579755685;0;0,105848369;1,845103217;0,438259359;1,538954364;1,954314772;6,773120214;0,367740141;1,717340128;0,900673498;1,005353956;2,285261615;0,764555938;0,877907769;0,554553082;0,252716421;2,905587353;0,371102688;0,15065162;2,918913924;3,42863024;2,418748338;0,980474204;0,775872051;0,414953664;1,800142892;0;0,116772672;0,278552296;0,401427412;0,224201965;0,154174045;0,866786863;0;0,169628188;0,175630163;;1,577311486;0,244803028;0;0,798716705;0,276274584;1,732974942;0,597765259;0;0,147671117;0,112589697;0,9922867;0,854404472;0,829742667;1,82787717;1,847817715;1,363691839
2007;;1,432175669;1,966693936;0;1,667604418;2,176214518;1,229376291;1,962568473;0,29170293;1,556289021;4,08061234;0,214481472;0,165141709;1,050477094;0,656816619;0,040868877;1,625572857;0,890496642;0,087095605;0,068863024;2,242183675;2,326286564;;2,105008121;1,526414281;0,77094701;0,244740128;;0,281411587;0,22690173;2,206698543;3,059318438;0,323957503;1,304107077;1,382139466;0,145133361;0,904102966;5,566336232;0,01148863;0,515942896;0,293262307;3,530891;0,418927982;5,198128639;2,340075702;2,103509589;1,922657853;0,88872744;0,81617329;0,317398909;0;0,523891274;0,22330152;0,208141957;;2,954454932;1,453100835;1,267240202;0,826970697;0,748018763;3,307687098;0,095235101;0,230080768;0,933288366;1,954535242;3,506303738;1,162737787;0,241469172;0,138835162;2,520187704;2,091981342;1,582273631;1,507832395;0,146267853;1,580178926;1,158215308;0,211914438;2,515716548;0;0,623573258;2,641649396;0;1,861634285;;0,987570245;0,466822008;0,551901012;1,116385154;0,078727224;0,341673938;1,131761433;;0,191698148;0,835376335;0,115045825;1,399743885;0,266412756;0,864158113;0,966104834;0,741383433;0,326272559;1,326748797;0,838172247;0,537182384;0,724077731;4,14608513;4,542010025;0,264070226;0,538385375;0,873378486;1,15836343;1,788645188;0,140992903;4,550164615;2,414483755;0,349121488;6,107666054;0,933085243;0,276848564;5,679663934;1,025066642;1,438980533;1,565690657;0,860899553;0,176400849;;0,462472541;1,784339533;0;0,138825419;1,872190996;0,394580449;1,438427465;2,010914735;3,268292854;0,330903321;1,495233773;0,832522843;0,907305973;2,210248028;0,75576938;1,112114014;0,491396051;0,257909249;2,41092171;0,3174278;0,13584852;2,810192208;2,4703563;0,154093876;0,995441913;0,900332177;0,346553918;0;0;0,529653406;0,34901767;0,349491404;0,192821191;0,113863571;0,849200213;2,46306793;0,14584783;0,149114251;;1,600076555;0,248418218;2,308573284;0,812400542;0,21965362;1,654296899;0,596470209;0,301344811;0,110553553;0,129692153;0,946171946;0,808793483;0,839773045;1,64753991;1,743252724;1,114440419
2008;5,096905656;1,384519975;1,987667202;;0,87783567;0;1,911653694;0;0,32193808;1,551266308;4,015917727;0,236786632;0,131326158;1,791097084;0,828312306;0,197717363;1,687510873;0,845757817;0,054784861;0,056719881;1,86395853;1,590389087;;2,898655637;1,517403175;0,712048885;-0,08051605;;0,245863197;0,186623624;1,825763784;3,674365365;1,430558222;2,07744173;1,479831819;0,140701011;2,761146601;3,558185743;-0,00625566;0,496542061;0,022683054;3,54738923;0,395738219;5,024922196;2,331430693;1,944405313;0,845069712;0,606769088;0,751004876;0,304793174;0;0,382253803;0,096937126;0,206016796;;2,937145479;1,473431586;1,16725046;0,474081214;0,748390329;2,637318653;0,699442868;0,181608138;0,475124759;2,141374057;2,524227261;1,171624945;-0,019798103;0,120548476;2,486119536;2,067403569;0,759475492;1,592152171;0,11404474;1,45199275;1,020085632;0,096817219;2,322697548;0;0,617963854;2,236852874;0;1,665074385;;0,864751861;-0,019397607;0,226561893;1,057799416;0,059469593;0,334436851;0,948435335;;0,151657338;0,605210512;0,116069794;1,290461724;0,0918976;0,90246054;0,963102071;0,6983036;0,001252094;1,424410101;1,307807778;0,463285063;0,763030011;0,562851541;4,541529063;0,137710818;0,534627102;0,805547773;0,925033146;1,775336044;0,25415749;4,664633013;2,354189699;0,359336331;3,780013932;0,876815092;0,318438102;5,687873202;1,050453;0;1,487587976;0,865023962;1,670790987;;0,617282069;3,289835362;0;-0,001651805;1,856554583;0,40437668;1,423344917;2,191189667;3,185534362;0,34973538;1,466739904;0,823975567;0,90551771;2,235649442;0,6953301;0,351071188;0,45019986;0,195005792;2,960098221;0,271134928;0,13242751;2,726222191;2,421726522;2,492074217;1,004372622;0,56763089;0,322342143;3,386326569;0;-0,15971003;0,093659408;0,338922642;0,207013795;0,102700258;0,819597695;0;0,058682036;0,149148311;;1,454473326;0,173812345;1,79148405;0,714917733;0,203137782;1,38031606;0,517813921;0,283791161;0,088130744;0,043580803;0,947746203;0,503327028;0,717807739;1,613730127;1,860353202;1,123012055
2009;5,070997112;1,289425172;1,904765827;;1,035618727;2,204947277;2,08576811;1,93610113;0,347932966;1,531184248;2,187269173;0,240101722;0,13285766;1,556305735;0,59557458;0,179613088;1,690748594;1,303600986;0,05660495;0,067838397;2,466582312;2,086625973;;2,51894276;1,543526813;0,735639594;-0,072009028;;0,262269186;0,196451345;2,21863927;3,110096872;0,360471473;2,112729682;1,665754252;0,135400006;2,614226289;3,549371556;-0,005766296;0,512362281;0,009733776;1,221958592;0,433434084;4,668014471;2,322963882;2,099186543;1,420370449;0,678555512;0,89539241;0,312501101;0;0,477103976;0,108630165;0,213653693;2,916114646;2,875537649;1,696632369;1,146514185;0,443955101;0,713169599;2,392059137;0,494318956;0,138119196;0,562579252;2,134075563;2,317811011;1,147206459;0,023024654;0,129882496;2,398806924;2,08059237;1,098831238;1,498356495;0,106556993;1,648337999;0,294774388;0,104140316;2,542838081;;0,623865814;2,156162269;0;1,662687745;;1,022859952;-0,043857267;0,184884777;1,017037345;0,067623712;0,333138092;0,918149395;;0,184100226;0,404533102;0,124478065;1,259091361;0,095124839;0,934849679;0,910103804;0,628270664;0,025346892;1,272502681;1,318850122;0,451678229;0,772154121;1,113789856;4,530723637;0,15598549;0,4838412;0,934766744;0,928891978;1,763482054;0,389994027;3,093940456;0;0,450375863;4,302816397;0,891848748;0,053708678;5,67451467;1,091934006;0;1,422358144;0,852820736;1,446540075;;0,610230137;2,756384167;3,2607925;0,018291913;1,321162456;0,399211753;1,451606103;2,134293231;3,061728819;0,339560804;1,439458392;0,826776767;0,521595299;2,224065586;0,720018792;0,405088976;0,421390998;0,225183016;0,867680373;0,256214258;0,140550973;2,380220767;2,691130551;2,252073476;0,983224682;0,62798961;0,313405019;0;0;-0,155485077;0,060958731;0,334715857;0,202894358;0,127308191;0,789503286;2,390882617;0,054456991;0,141527954;;1,517206947;0,176699331;1,759009704;0,659441991;0,215140422;1,140341259;0,495186907;0;0,135561918;0,047800225;1,041450814;0,318695862;0,625033464;1,692324342;1,817434381;0,62764351
2010;4,996128538;1,103400394;1,787585424;;1,062801154;2,201535508;1,113024241;1,586578943;0,360447087;1,563554476;1,132751303;0,246011243;0,133546746;1,684262438;0,614050526;0,108248885;1,677083646;1,365095257;0,12573667;0,06186123;1,933035261;2,167854266;;1,925783391;1,494927698;0,692733244;-0,083340511;0;0,28302484;0,20116072;2,272833192;3,703057934;0,654163267;2,134479205;1,476206709;0,140222099;2,916857507;3,526427993;-0,008799854;0,535944316;0,018400558;3,97329533;0,431354202;3,989074271;2,327253702;1,988312641;3,35447287;0,587081365;0,973807398;0,260572949;0;0,397476489;0,103200751;0,205196414;0,361069865;2,645840423;1,643930247;1,143651655;0,441224217;0,687177869;2,646232906;0,857015853;0,125076374;0,576727234;2,132922757;2,369069766;1,155260932;0,046391684;0,126352499;1,990106815;2,029904864;1,014134772;1,558243877;0,113536366;1,51174531;0,081216289;0,063062692;2,694417298;0;0,620392902;2,317319663;0;1,681808492;;0,970541563;-0,04848884;0,164818903;1,087173485;0,038921695;0,2270018;0,921294372;;0,201244215;0,463049038;0,109349051;1,135838232;0,100129345;0,909490453;0,927410835;0,608109674;0,032372082;1,254281909;1,300423246;0,45121111;0,736656985;0,903291926;4,380942561;0,122002237;0,496613456;0,671198945;0,767714609;1,505899598;0,062717402;3,41216595;2,049561338;0,258704588;1,674117443;0,836990975;0,080512781;5,68963424;1,042896076;3,400341681;1,453160673;0,836908788;2,251164812;3,335696198;0,596821172;2,68063106;1,346777081;-0,00267842;1,841320124;0,40599805;1,46404143;1,846108041;2,438348867;0,344124932;1,466256833;0,8204771;0,5807865;2,216604407;0,699326736;1,540310074;0,420920493;0,214375522;0,836494718;0,23572465;0,115585343;2,62585566;2,535937457;1,897915389;0,996984868;0,685675165;0,331660192;3,04715796;0;-0,125029509;0,099362887;0,326769299;0,184887752;0,119152429;0,799714021;2,199531187;0,040713824;0,14007271;;1,322853793;0,179345414;1,663052396;0,627203798;0,214889086;1,169421915;0,483378186;0;0,079091918;0,032810356;1,026336239;0,391976646;0,613204897;1,732020964;1,81807483;0,634426766
