year;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia  Plurinational State of;Bosnia and Herzegovina;Botswana;Bouvet Island;Brazil;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Chile;China;Christmas Island;Colombia;Comoros;Congo;Congo  Democratic Republic of the;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Eswatini;Ethiopia;Faroe Islands;Fiji;Finland;France;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong  China;Hungary;Iceland;India;Indonesia;Iran  Islamic Republic of;Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Korea  Republic of;Kuwait;Kyrgyzstan;Latvia;Lebanon;Lesotho;Libya  State of;Lithuania;Luxembourg;Macedonia  North;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Mauritania;Mauritius;Mexico;Micronesia  Federated States of;Moldova  Republic of;Mongolia;Montenegro;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Norway;Oman;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Qatar;Romania;Russian Federation;Rwanda;Saint Kitts and Nevis;Samoa;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;South Africa;Spain;Sri Lanka;Suriname;Sweden;Switzerland;Tajikistan;Tanzania  United Republic of;Thailand;Togo;Tunisia;Turkey;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States of America;Uruguay;Venezuela  Bolivarian Republic of;Viet Nam;Yemen;Zambia;Zimbabwe
2001;;2,805563635;4,568695288;0;2,272779394;;1,431752689;;3,403162312;3,103779166;;3,543738953;2,205403008;5,568255785;3,858932111;5,132278858;2,668682829;2,822957319;2,965822398;2,251513634;3,234627234;3,737312187;;;3,436487643;;6,410037586;0;2,876495052;2,592163331;3,702257954;2,336563636;1,80406646;2,853725454;4,469876262;3,091780096;4,01684247;2,749997889;4,09051786;3,884648089;1,854158877;2,291239775;3,693610602;2,644820766;;4,347822615;;3,309337652;3,890167319;2,706576246;4,409531695;3,472990347;2,038858618;2,294970871;;2,696281979;2,904213001;4,298421466;3,80265129;4,889201392;4,459557316;;2,731770622;4,056051787;3,023021136;1,524641084;;2,955304359;2,016902022;4,050235337;5,611206265;2,326871015;2,798562271;1,992480385;4,098682053;3,788937785;2,730888321;3,40511699;0;3,235544289;4,320606919;;3,664907525;;3,471112928;2,272230176;2,478479176;3,734012675;2,74421676;2,984241515;6,39920181;;3,710806327;3,783578007;1,672420777;4,362541782;2,583379472;2,451240516;4,795482023;3,871036338;2,871471186;5,0469564;4,177230894;2,969822589;2,567582612;2,340267642;;2,970823046;2,890897244;2,516782633;3,561614898;4,221671518;3,28818806;1,282300532;4,239534577;3,913290149;1,31788;3,941542671;2,942004108;;2,704586594;2,952939389;;2,90317569;4,504041034;;4,588887385;3,07503806;;3,081286139;5,19339949;3,037505805;3,288657248;3,690148319;5,048175106;5,076767858;5,197743114;;2,455984521;4,279828267;3,858596862;3,86554808;1,888584489;2,564577137;3,994200197;2,34651866;4,769461979;3,910887221;3,523194518;4,271970441;6,121066025;3,273472153;;4,032272891;;3,567337785;2,576035051;2,189916573;3,052145379;2,135613033;2,808137396;5,382658059;2,528440346;2,360186667;;3,271136;2,649593496;2,933731616;2,739906586;2,302557707;3,202368188;2,709617232;;2,566818492;2,078671313;2,601320265;5,976372918;3,157808874;;4,225490189;4,605791411
2002;;2,994073757;4,194533637;0;2,642955163;;1,791756008;;3,151575964;3,73886636;;3,444292146;2,11094244;5,361399845;4,339272418;1,175482632;2,706949493;2,78045272;2,077446473;2,230776191;3,868031384;3,630312856;;;3,604929479;;6,140804591;0;2,823284929;2,192647727;4,08150235;2,672781587;1,841083385;2,990703572;4,472587439;2,936114074;3,988488231;3,229927799;4,002460501;3,87210579;1,890117227;1,12284205;3,496608023;2,993721932;;4,424653296;;3,379621235;4,288479079;2,200984807;4,292744881;2,749526037;2,215718876;2,239704581;;2,738818475;2,599563446;4,262777593;3,716475742;4,77408732;4,61303964;;2,386655867;4,502393778;3,012032612;1,575672435;3,538686505;2,414524727;1,949964772;4,297694273;5,589595385;1,100533012;3,093860515;1,931014726;0;2,88163404;2,160016758;3,356047645;0;3,192572029;4,295053236;;3,713018826;;3,019954383;2,073380235;2,494537164;3,701984429;2,811230201;2,996590468;5,282324229;;2,959375862;3,98900399;1,58647283;4,510307634;2,483504596;2,889242602;4,86404834;2,995818357;2,411627093;5,015428227;3,87412202;2,931779891;2,590181536;2,741496126;;2,097605294;2,784387421;2,46920612;3,582546792;4,327009644;2,661656173;1,464710249;4,986459249;0,954172422;1,359275867;3,895608177;2,926394963;1,365474324;2,737187411;0;;2,790595909;4,202448898;;4,161723099;2,41297479;;2,745796793;5,321958122;2,930438596;3,188816993;3,7228841;4,608196058;4,858962404;5,013806409;;2,507781195;4,325867059;3,804632337;3,987332277;1,762308821;2,35406274;3,744738755;2,152876526;4,257173416;1,54214436;3,487677581;3,981734226;5,808511312;3,639517668;;3,621818836;1,332174896;2,295091668;2,343226104;2,214756794;2,726335082;2,049345763;2,80547555;0;2,337377658;2,31515372;;3,2982623;2,336295472;2,95936141;2,605509041;2,305180887;3,351890478;2,696168213;;2,406072312;1,863896651;2,50789411;6,15490198;2,966459436;;3,580996603;2,692982108
2003;;3,091272366;4,387102964;0;2,627136888;;1,69479036;;3,273366101;3,829299369;;3,474787515;1,957316599;5,306522019;4,192056162;1,056601799;2,699954778;2,704556246;2,027324076;2,143112282;2,481399956;4,018706251;;;3,698253523;3,554936135;1,034998491;0;2,767787334;2,128763567;4,640257503;2,808716999;1,759509951;2,970566782;4,392489547;2,943694688;4,674103672;3,034057151;3,561503185;3,691770834;1,993896043;2,026909108;3,515583311;3,230318807;;3,892781422;;3,68624898;3,997482711;2,233660378;4,254838192;2,70993037;2,124737847;2,217887829;;2,808835047;2,628112035;4,358239695;3,977144916;4,859377903;4,596508753;1,148323084;2,374241335;4,130638142;3,214547768;1,586020639;3,524828346;2,371950869;1,958132617;4,084756091;5,74557377;1,369627141;3,103778048;2,076419462;4,662924749;3,072497115;2,266538519;3,394414868;0;3,147026807;0;2,91703358;3,704362963;;3,063832198;2,190725334;2,489826332;3,66819837;2,754790199;3,036490148;5,995150209;;3,114070613;3,8467677;1,594950308;4,600764857;2,463970312;2,611419691;4,950438321;2,787837066;2,508435072;5,032273738;4,141161015;2,899508502;3,034888144;4,301900558;;1,994195915;2,642660208;2,484066258;3,48085459;4,218566891;2,502457459;1,660579469;4,950948646;0,953362086;1,328242027;3,895537412;2,950045468;1,723923732;2,799025505;3,315886401;;2,821519908;1,46364884;;3,570616797;1,878205139;2,097080775;2,361107255;5,441930436;2,852044521;3,094418114;3,942603919;4,943976039;4,855527865;5,739049759;3,040335343;2,741587679;4,264037526;3,864480983;3,992214711;1,841551629;2,281308375;4,111401361;2,16364988;4,343201826;2,727334334;3,642901779;4,374704406;5,791077621;3,107723081;;3,758453831;0;2,118456981;2,70480196;2,245963032;2,83073044;2,074557259;2,78982833;0;2,375605706;2,384417599;;3,636398334;2,266505387;2,203198075;2,582685144;2,32429133;2,941692472;2,647484369;;2,348934402;1,831657639;2,556097373;6,427098705;2,89303722;;3,452415678;2,765389301
2004;;2,704381025;4,607332016;0;2,637004379;5,209359415;1,338808129;;3,182616608;3,666443847;;3,577199682;2,027521234;5,022157369;3,748277944;0,936862348;2,713603073;2,868822947;1,977309986;2,120710644;2,16317199;4,106942901;;;3,847344385;2,943908628;1,0294286;0;2,729882866;2,10387775;4,769504007;2,78892037;1,94488656;3,16284456;4,438678405;2,920298142;4,606553991;0;0,39908832;4,136187277;2,043627376;2,636715298;3,356332478;3,039719974;;3,663927534;;3,270804705;3,330619485;2,253526217;4,300115358;2,772666487;2,132940158;2,247787278;;2,848462698;2,643796582;4,728031929;3,942320486;4,741520524;4,734155119;1,295643408;2,419645097;4,537110387;2,818617334;1,519886273;3,372870657;2,233149409;1,968643967;4,362257792;5,355906945;0,533578323;3,091954495;2,06811314;5,386638241;3,179525038;2,236105161;3,420029123;0;3,014074877;4,901940591;3,146765366;3,801804293;;3,181665204;2,228122633;2,528545645;3,574267444;2,362458089;3,018328098;5,918004434;;3,183005302;3,989922426;1,587835794;4,600363662;2,427521842;2,472479719;5,139571282;2,733824636;2,571121235;5,12382058;3,991138031;2,649138545;2,558110412;0;;1,77403299;2,664532306;2,46497138;3,141390529;3,971788489;2,554775584;2,28490532;4,73146362;0,873035578;1,405095656;3,85664443;2,946356987;1,624922663;2,712123793;3,15613465;;2,753955257;1,11464943;;4,101034026;0,606092474;0;2,296699217;5,352251699;2,830312923;3,226662268;3,537054336;0;5,006908747;5,298617065;2,955426731;2,629781033;3,995885716;3,872634515;3,859481172;1,831788638;2,850021433;3,499162702;2,112232687;4,356411946;3,199880326;3,554563744;4,435363779;5,628310145;2,358334303;;4,512771796;0;2,059570756;2,417393594;2,264561374;2,950374941;2,071927016;2,789315823;10,8376645;2,357105283;2,413758227;;3,444808185;2,239772398;2,971708048;2,786921528;2,393551022;2,961256324;2,689149556;;2,269150253;1,945332909;2,591157037;5,986224023;3,020975152;5,818485477;3,771242093;2,80443908
2005;;2,74239428;4,668371151;0;0;5,706273396;2,202351127;4,735799097;3,072875111;3,998927704;3,699295825;3,830072828;2,019910252;3,554247412;4,85815164;0,843531496;2,735537684;3,404602966;1,955032166;2,088422902;2,163137526;3,682057831;;2,63589665;4,097726457;2,602324546;1,087032128;0;2,736469727;2,094289121;4,714402351;2,83799097;3,516552439;3,185290578;4,697725374;2,956214365;4,43874643;0;0,268200059;4,181968341;2,044400453;2,378172465;3,485814148;2,616095657;;3,814365514;1,556535819;2,693443184;3,075857773;2,146247569;4,23316657;2,893518576;2,084047404;2,355382963;;2,7231821;2,504276062;4,807516048;3,557830928;2,799047185;4,726917809;0,717113539;2,240369897;4,247378675;2,340988211;1,432510198;5,07184108;2,379054599;1,949443126;4,162742526;5,604521876;1,596724584;3,050490552;1,927875603;3,932284789;1,323104934;2,214788463;3,320451237;0;2,945934289;4,403177536;3,14793962;3,801008869;;3,282012102;2,3261853;2,562793587;3,594959422;2,347223051;3,135247171;6,194134639;;3,006785516;4,016550443;1,577251129;4,598489062;2,441171237;2,460759315;5,274024902;2,652033206;2,501791353;0;3,688389263;2,313368686;2,391797366;0;;1,649768022;2,671596254;2,389140253;2,812299379;4,216519677;2,611270153;1,278420231;4,885352572;0,989261216;1,483872209;3,9685797;2,995704059;2,14549407;2,465863283;3,279562155;;2,765191389;1,120532497;;3,747446993;1,482712876;0;2,330741109;5,369138616;2,824506247;3,152698372;2,872177518;0;5,128615845;5,413715791;2,931237815;2,590971;3,949450084;3,784619276;3,641426221;1,805963703;2,200164891;3,811954292;1,976881821;4,370618359;3,013049921;3,717295323;4,245199568;5,75896657;2,279119989;;2,904461831;0;3,833348967;2,266547519;2,298414811;2,979049936;2,027582261;2,82040136;5,445696068;2,332458068;2,469831399;;3,354472148;2,193427841;2,678835785;2,712807281;2,330397755;3,096477156;2,72362328;5,681611037;2,387461691;1,967684632;2,628307647;6,302639823;3,029292248;5,774106326;3,932958836;2,39977354
2006;;2,493797856;4,710797922;0;2,285126962;4,773450072;2,335471056;0;3,043817417;3,648313701;3,726055994;3,941612089;2,002711693;4,139411356;3,133955332;0,765432558;2,883248717;1,777440299;1,798878691;2,048978473;2,327884966;3,211353727;;2,353340733;4,317670222;2,680654237;1,210075565;0;2,775784514;2,070813091;0;1,823591235;0,20410657;3,253480992;4,417668825;2,909233775;4,937309524;4,380329029;0,211799041;4,508483799;2,011181578;2,249642238;3,40051888;0;;3,379341867;0,641706821;2,640522119;3,206965569;2,205675903;1,17950772;2,377453458;2,122374686;2,308077212;;2,892959516;2,759467231;4,737286588;3,268831419;2,700868391;4,669599504;0,414489324;1,964763327;4,172366582;1,681122088;1,56155923;3,739497541;2,345200372;1,933658492;4,003297441;5,671831934;2,747204476;2,809011947;1,909269405;4,359180671;2,295528522;2,144901631;3,209755877;0;3,123294188;4,347085691;0;3,573365846;;2,853355191;2,357885566;2,655518502;3,429128853;2,114650148;3,178117212;6,15684366;;2,95464788;3,978290313;1,571898194;4,160232896;2,496094294;2,557623747;5,253050424;2,953658796;2,53372798;6,015026098;2,754145505;2,262903128;2,791071456;0;;1,615605494;2,688822872;2,435192879;2,787495898;4,26819901;2,622687831;2,121365607;5,107399559;0,835929731;0;3,878897959;3,118513378;1,749064251;2,092865228;3,161999281;4,545432828;2,739795286;0,946758598;;4,253063705;1,010591612;0;2,317200338;5,403962281;2,873985135;3,55772249;3,045528504;9,349423221;5,088026202;5,302360057;2,885148092;2,180820824;3,827563745;4,016283226;3,540013361;1,78683029;2,061056491;3,727255074;1,985983842;4,405943373;2,969409934;3,849998214;4,576069912;5,8323553;1,820711593;2,402333061;2,711161192;0;3,868425991;2,43733346;2,274620927;3,073681017;2,02530852;2,840580098;0;2,280795332;2,550073049;;3,247385471;2,251844553;0;2,670313961;2,249163409;3,045104776;2,640123158;0;2,56605968;1,853654127;2,664454267;7,212538963;2,931475029;5,897184155;4,449272919;3,845170219
2007;;2,502818334;4,625444694;0;2,462471536;6,038100912;1,527261267;4,09221272;3,217513217;3,507466246;3,543164487;3,930427179;1,945556794;3,637794011;2,544658399;0,712160909;2,632478436;2,261842019;1,896428196;2,092845701;1,609665249;3,241655601;;2,755129648;4,45065511;2,506771676;1,359799627;0;2,816364414;1,98060491;4,561994593;1,927176324;0,264184378;2,136343684;3,724879596;2,95948627;1,571531828;3,888125786;0,161971476;4,638136966;1,919987035;2,243641384;3,405557847;2,678622384;5,439549486;3,258657835;0,92250838;3,480963865;3,146071539;2,154988677;0;2,276242833;2,194621702;2,270887823;;2,806115447;2,729270555;4,650743627;3,552022316;2,699434633;4,470547422;0,285310224;1,896647763;4,525359305;2,355536184;1,69745681;3,585679525;2,258105245;1,966510186;4,221305706;5,609504978;1,186875092;2,779421731;2,073228745;4,295618984;2,151638081;2,11108566;3,147104857;0;2,909932647;4,662551479;0;3,843697094;;2,706327549;2,590939418;2,63901955;3,37114146;2,110898355;3,106855536;6,462515747;;2,967705979;4,188627531;1,623068247;4,085126111;2,607555241;2,739877597;5,079800116;2,87504036;2,741748852;3,941147048;2,412770291;2,359759779;2,521292818;3,90949005;3,213936104;1,912734386;2,797949972;2,789161262;2,830821872;4,056311682;2,562801722;2,069693937;5,087725472;1,023949262;0,96659445;3,821703925;3,199363653;1,940249622;1,825541544;3,09660305;4,489832976;2,719711498;0,947351721;;3,389288607;3,049148863;0;2,222191203;5,542457177;3,005959201;3,15064052;3,50041144;4,800864439;4,958846538;4,808463329;2,717294126;1,168780867;3,828669493;3,966421259;3,59984455;1,80305691;2,176907371;3,140031451;2,004044128;4,33383455;2,665250049;3,162023434;0,621150443;5,765057556;1,939897768;2,191405722;0;0;2,802036324;2,563193735;2,361928467;3,140650846;2,071933416;2,896533642;5,497057968;2,295858658;2,600732534;;2,896419342;2,405739252;3,335971687;2,734790574;2,245389154;2,729554096;2,574349365;5,56178847;2,35829501;2,017073831;2,580016397;5,558633599;2,783870591;5,251801548;4,249526447;2,707575372
2008;1,046712801;2,431405962;4,601264743;0;1,531500646;0;2,106600524;0;3,215069206;3,547512189;3,338122006;4,396149381;1,772225212;6,152273511;2,678758933;1,040862424;2,993970331;2,149380809;2,126364713;1,914835986;1,398553496;2,51932772;;4,652258906;4,581550292;2,486263169;0,610159558;0;3,034432969;1,845911315;3,557706193;2,235038642;0,938205994;3,048214691;3,027919015;2,997951375;3,862785135;3,159234022;0,08919255;4,154666682;1,545524002;2,481988743;3,472487752;2,274805651;5,374772836;3,110569187;0,484850883;2,770262448;3,212749297;2,041899424;0;1,999049403;1,867201915;2,24399089;;2,946423008;2,203930154;4,857472946;2,594080261;2,694300921;3,864685638;1,004818194;1,655657068;2,991284719;2,635130476;1,149224406;3,946117742;1,575924916;1,88636872;3,833390528;5,75220709;0,631170433;3,006006716;1,885107868;4,369768803;1,888492471;1,763153154;3,002010105;0;2,867197892;3,819528328;0;3,764349107;;2,44197892;1,930147385;2,049836757;3,313239412;2,02406611;3,262763471;6,183993438;;2,857909055;3,59631084;1,56566746;3,985888964;2,260105556;2,708375794;5,198116451;3,065808363;2,110717349;4,250312423;4,019599568;2,044419165;2,58530799;1,04330067;3,231257991;1,612649253;2,65680306;2,354327979;2,618945857;4,439343224;3,179418952;2,128946224;4,933715709;0,943941296;0,988853937;3,843105585;3,078367507;2,300954957;1,953807813;0;3,980640825;3,17833029;4,214476767;;3,821576898;5,052148282;0;2,098712249;5,429482406;3,095123512;3,20384449;3,772026507;4,676711306;5,098486712;4,788758378;2,915708723;1,231347753;3,700329228;3,900314485;2,228310062;1,63162846;1,868236895;3,973417116;1,837207338;4,384296585;2,943536616;3,1656637;4,990304848;5,90964121;1,6561537;2,13753399;3,90989293;0;1,808613657;1,950417809;2,213401687;3,156280135;1,915655398;2,984761808;0;1,966085835;2,640362256;;2,904923746;2,214983353;2,367812273;2,895136001;2,200783035;2,85231196;2,864464166;5,70426055;2,365909196;1,778876907;2,699171245;5,759826309;2,808840485;5,149297902;4,453328449;2,600368892
2009;1,028619148;2,362261533;4,423244432;0;1,729302306;6,094559807;2,496503928;5,321367045;3,271354026;3,41552527;3,751166609;4,426035117;1,784824965;5,423093088;2,390123974;0,976012952;3,061754699;2,597111034;1,949029264;2,017237437;1,7360382;2,741419844;;3,30829558;4,409369321;2,411032886;0,688881843;0;3,099481835;1,826731719;4,520583048;1,954335509;0,321984857;3,52337386;3,397437826;2,825332358;3,23849332;3,714439134;0,1019229;4,333136021;1,598238259;1,109366046;3,771675476;2,224873141;4,963479987;3,290263548;0,810287387;3,611359193;3,51334655;2,02568699;0;2,195003877;1,980962678;2,230570638;2,263993169;2,912496741;2,457776453;4,340914362;1,637227776;2,571476397;3,534685324;0,916015865;1,578591107;3,369631211;2,81592459;1,116402176;3,52719124;1,921455539;1,974836966;3,978683149;5,530863513;0,727412807;2,908183095;1,86370357;4,83874969;0,900691067;1,794445886;3,174224644;0;3,025247245;3,654721246;0;3,91384209;;2,708402783;1,923234629;1,899822972;3,093626262;2,49463041;3,225761376;5,452008218;;3,13384186;2,670458764;1,604145612;3,222196327;2,198472776;2,609098703;5,145194082;2,838283071;2,28662679;3,721524316;4,247434384;2,003251015;3,011111583;1,619684389;3,3130305;1,61028944;2,466931939;2,999943166;2,265590531;4,242100022;2,912401733;1,461186192;0;1,143886749;1,002024211;3,581423818;2,352379189;2,092306915;2,244513317;0;3,670955256;2,641148782;3,431993246;;3,510334649;4,207837267;4,261071684;2,14897014;2,739084996;3,048844901;3,225198597;4,061550808;4,421463999;4,759875244;4,56921269;2,759379117;0,779837995;3,677886188;4,06365413;2,390514065;1,677512663;1,867708682;1,961952714;1,868550861;4,357107768;2,59735534;3,391108829;4,535499699;5,563055278;1,758905922;2,209063358;0;0;1,810300741;1,882474554;2,341209024;3,086304831;1,9920614;2,945177922;5,385299307;1,915464534;2,804038888;;3,158807171;2,262941491;2,250109631;2,392380693;2,108645521;2,129334077;2,524618566;0;2,604736271;1,94307447;2,935675145;4,953267529;2,31052682;5,336946338;4,217814775;2,100652369
2010;1,309635434;2,369133387;4,204835434;0;1,689130868;6,089988721;1,372680194;2,299369297;3,403611512;3,614483725;1,29744269;4,652465767;1,827126712;5,780274481;2,319949891;0,955380602;3,046411538;2,915121784;2,122066385;1,959047852;1,396279444;2,779357676;;2,475539723;4,393149163;2,414385076;0,644676927;0;3,353019345;1,905675319;4,948677254;2,508784655;0,512126274;3,237289585;3,693052331;2,973744707;4,498483169;3,579904388;0,079303379;4,57149238;1,640649087;2,550527482;4,254684879;2,101613584;4,89972873;3,282576871;1,77657893;2,749773582;3,728319126;1,9881474;0;2,052393089;2,013079659;2,323106347;1,022125495;3,030005799;2,301769784;4,496631373;1,588362698;2,573766017;3,786877987;1,130152024;1,528002525;3,43367395;2,759476962;1,294131777;3,655588824;1,786161628;2,039609781;3,458739136;5,470946219;1,028461299;3,10828782;1,891179362;4,678654618;0,484385652;1,758124373;3,305285958;0;3,023061759;3,757244567;0;3,998147126;;2,739327722;1,914653797;1,850449331;3,368534906;2,238109062;3,340616922;5,685936565;;3,19936931;2,94425871;1,540746626;3,0171721;2,242257902;2,736169836;5,341069237;2,951103029;2,280073871;3,792864963;4,243875902;2,026517128;3,047765371;1,370029881;3,456905766;1,504405029;2,517040817;2,169363961;1,933083126;3,753899996;2,408789928;1,561309245;4,858935957;0,859193497;0,659958158;3,430181721;2,550864361;2,103600459;2,110541875;5,719181588;3,716874346;2,86156621;3,278471877;3,053724901;3,540178018;4,453302932;2,483891126;2,065685614;5,391254946;3,164417045;3,479097584;3,38104741;3,627011083;4,873418642;4,755230522;2,776384893;0,816067322;3,684997978;4,058263754;4,77945512;1,618885432;1,877005029;1,599765545;1,807106092;4,418563283;2,793368138;3,0725378;4,073858705;5,706569699;1,919542105;2,299073634;3,809094793;0;2,143662039;1,914417297;2,316695874;2,86811624;1,950110544;2,985985243;5,654677077;1,895999984;2,823339078;;2,967159499;2,262173091;2,12227857;2,439180065;1,993574897;2,067428823;2,548114895;0;2,399598094;1,866831483;2,874750619;5,190661417;2,171134402;5,08422486;4,364678193;2,292229424
