year;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia  Plurinational State of;Bosnia and Herzegovina;Botswana;Bouvet Island;Brazil;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Chile;China;Christmas Island;Colombia;Comoros;Congo;Congo  Democratic Republic of the;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Eswatini;Ethiopia;Faroe Islands;Fiji;Finland;France;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong  China;Hungary;Iceland;India;Indonesia;Iran  Islamic Republic of;Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Korea  Republic of;Kuwait;Kyrgyzstan;Latvia;Lebanon;Lesotho;Libya  State of;Lithuania;Luxembourg;Macedonia  North;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Mauritania;Mauritius;Mexico;Micronesia  Federated States of;Moldova  Republic of;Mongolia;Montenegro;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Norway;Oman;Pakistan;Panama;Paraguay;Peru;Philippines;Poland;Portugal;Qatar;Romania;Russian Federation;Rwanda;Saint Kitts and Nevis;Samoa;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;South Africa;Spain;Sri Lanka;Suriname;Sweden;Switzerland;Tajikistan;Tanzania  United Republic of;Thailand;Togo;Tunisia;Turkey;Uganda;Ukraine;United Arab Emirates;United Kingdom;United States of America;Uruguay;Venezuela  Bolivarian Republic of;Viet Nam;Yemen;Zambia;Zimbabwe
2001;;4,566725041;6,842930917;0;4,269154337;;5,105774106;;3,874585387;4,90572366;;3,829499795;2,521265153;7,510075949;5,480980083;6,96664328;4,533845047;4,410844885;3,519714167;2,49106682;7,233645114;6,663032373;;;5,045749639;;7,660628638;0;3,254350676;3,11527798;6,081983864;6,981679961;6,377510585;5,227696983;6,397789732;3,35971183;7,018737532;6,424829863;7,612538413;4,521612475;2,095974961;6,888011153;4,339392458;7,842949406;;6,978794121;;4,256567126;5,156716388;3,277947346;6,269038816;4,603035291;2,326004411;2,623180186;;5,738447849;4,83769193;5,758519069;5,029417265;5,960443551;7,971554937;;3,284430648;5,122626989;5,946395619;5,634056691;;3,325818491;2,261252063;6,649142257;7,772824987;6,108351354;4,633689941;2,23186093;5,971693524;6,314666429;3,17906188;6,542610298;0;4,001003665;7,165985643;;5,680074712;;5,007357611;2,578894136;3,043060218;5,475903163;3,03990528;3,352716482;7,384401552;;4,198802975;4,646895433;1,910930062;6,212395442;2,864928355;3,602987309;5,903865539;4,807204438;3,205366102;7,374148522;5,718258855;3,717923025;3,457833435;5,103303842;;3,512765265;3,580375919;3,598845879;5,015415142;6,207637536;3,638593391;5,931855589;6,736684808;6,127558097;7,614620928;4,991898892;3,256672854;;4,188097713;5,505346027;;3,875227597;6,562429166;;5,519665663;6,343933641;;3,342916318;7,08283818;3,527278019;4,957100278;6,230260494;8,532168183;5,531602985;7,019339734;;5,002839194;6,721287597;4,747774878;4,769404096;2,546062155;2,978389949;7,457862128;2,915036277;5,12818515;7,260791308;6,613512334;6,88110035;7,32883842;4,921854288;;7,500911553;;3,842494711;3,007639997;2,649558091;3,326910384;2,377051006;3,743272586;7,86935522;2,816764886;2,649260826;;5,178297147;3,024493244;5,444661024;3,664936185;2,663366519;5,178642541;3,327066243;;2,801213188;2,293858995;3,974809468;6,846894129;4,103732643;;6,196677866;6,382781067
2002;;4,670904598;6,06184871;0;4,447145002;;4,016843914;;3,483693445;5,500156928;;3,672580765;2,33544638;7,286888712;5,880063063;1,38568796;4,491546024;4,236021392;2,337768125;2,373986369;7,863280857;6,49741837;;;5,114762779;;7,374665356;0;3,132562189;2,579571811;6,315864093;7,266056196;6,108283918;5,305457038;6,391469056;3,131634236;6,410210272;6,849175758;7,396190963;4,443521776;2,078354487;2,661432919;4,008127196;8,110322209;;6,805337044;;4,321143607;5,552430471;2,595542623;6,109958609;3,648615928;2,427121349;2,505350642;;5,598819069;4,396146738;5,625467844;4,910575498;5,76462325;8,108440806;;2,836172794;5,516633237;5,900492881;5,670038133;4,787384252;2,556797474;2,128457577;6,820156266;7,74477653;2,226679496;4,860128117;2,11055899;0;4,827310735;2,461764368;6,377296287;0;3,905647326;6,917108049;;5,691656935;;4,438167851;2,246842584;2,992464417;5,389387601;3,104964094;3,36429575;5,952299482;;3,162173928;4,843243542;1,748754933;6,345760476;2,681190558;3,9901075;5,932711682;3,554983898;2,564293971;7,268516423;5,366210582;3,61184589;3,403484111;5,206402727;;2,360793539;3,417377318;3,460439747;4,848546317;6,252953948;2,806569205;5,950165149;7,337243332;1,482358491;7,655788713;4,837576442;3,213711366;7,069256799;4,185262674;0;;3,660561048;6,147106839;;5,026566746;4,039133891;;2,9110716;7,197083523;3,372160772;4,749898261;6,040435512;7,790327998;5,250962261;6,772768524;;5,038709768;6,756729506;4,592775026;4,88644314;2,293977789;2,668170173;7,099257226;2,584946103;4,465397005;2,667939493;6,207325771;6,156015758;6,844075773;5,230080624;;6,180321954;5,538708459;2,261816454;2,646494293;2,615482341;2,928250276;2,221930151;3,705850364;0;2,525083301;2,492006103;;5,171426206;2,612225857;5,34465266;3,464277842;2,612971034;5,13083058;3,304385681;;2,555030392;1,982432157;3,529226282;7,019808945;3,886891889;;5,152337809;4,101802013
2003;;4,651969737;6,316097971;0;4,318030507;;3,732037075;;3,597034739;5,539337085;;3,702444822;2,156906408;7,209935863;5,646471862;1,22347635;4,40972201;4,075436785;2,254491281;2,269144928;5,971344625;6,791172805;;;5,207843171;4,485670692;0,97366111;0;3,072367405;2,509778109;6,968913899;7,262470853;5,907969082;5,276221474;6,305690331;3,130978993;7,573106676;6,690174477;6,14272915;4,229776221;2,180933919;4,988807365;4,010463342;8,28318322;;6,18318837;;4,548797937;5,201621023;2,625341983;5,952541833;3,55302186;2,369333646;2,485430225;;5,785667153;4,384171053;5,679160758;5,12933058;5,843057321;8,081902898;4,573851676;2,831212311;5,018687217;6,030453078;5,692029666;4,738304722;2,516843448;2,135526124;6,511117424;7,886627765;3,669908652;4,83620319;2,25804145;6,630781354;5,686745501;2,586631415;6,506914911;0;3,844581253;0;8,291756278;5,653267556;;4,474264267;2,357338227;2,968238571;5,348690911;2,986060264;3,403364722;6,826357094;;3,382733584;4,653793355;1,755728153;6,43147862;2,661441919;3,592689899;6,029574016;3,300231173;2,665463528;7,264158485;5,558852943;3,569590791;3,841944022;6,966337384;;2,240963734;3,261176798;3,40928355;4,6157793;6,12525334;2,613949821;6,190959798;7,41543889;1,448550613;7,624778242;4,83747759;3,225847778;7,427706207;4,17242452;5,557045665;;3,717671392;1,910548856;;4,392566235;3,327322075;3,789169902;2,484596646;7,271500895;3,293871886;4,66042285;6,271661684;8,349994231;5,238819123;7,512759651;3,969587074;5,225074933;6,581488831;4,645820927;4,89164357;2,410477707;2,574268999;7,284358087;2,601995669;4,553693324;5,68934944;6,457871853;6,747005;6,810927461;4,500360783;;6,451260964;0;2,074949384;3,031827286;2,647953772;3,031404008;2,241635396;3,665753974;0;2,56261579;2,565454234;;5,488291195;2,52902504;3,869226702;3,397795834;2,632007217;4,644294846;3,250695901;;2,512696512;1,943867276;3,568156887;7,280974596;3,789605081;;5,023617493;4,175927112
2004;;4,11880481;6,600610114;;4,104993577;7,523333947;2,609681201;;3,511136181;5,329263676;;3,806136628;2,229676174;6,735163477;5,017696179;1,052821125;4,400417432;4,194260314;2,159348247;2,240210388;5,546950646;6,855130592;;;5,330298398;3,774360379;0,976242385;0;3,036949317;2,455421373;7,03567224;7,250170621;6,445597925;5,458439805;6,354628997;3,10323063;7,349611693;0;0,518649477;4,698670533;2,230038866;6,780986206;3,843525945;8,015643807;;5,839067458;;4,117019309;4,254126647;2,619747287;5,958047795;3,654109977;2,380069701;2,513678744;;5,805824695;4,369336399;6,066903984;5,104104486;5,702810859;8,225963122;2,353475399;2,835469783;5,530596862;5,157292448;5,578544418;4,547452337;2,368709402;2,145118288;7,041976271;7,424474574;0,917744135;4,788871376;2,245501268;7,539701918;5,251386888;2,561879236;6,466484275;0;3,690864947;7,635517008;8,410683505;5,796865844;;4,569556977;2,385026228;2,98303716;5,22827989;2,531050667;3,382822378;6,702092824;;3,454010566;4,793396443;1,748964237;6,354188753;2,627780273;3,411244152;6,151881396;3,19885316;2,724898244;7,384962874;5,420389403;3,256769011;3,356553099;0;;1,964174896;3,278812037;3,382029155;4,436175828;5,787204143;2,687213316;5,879564066;7,129108937;1,338122787;7,675779792;4,789646425;3,220037299;7,328705137;3,872724812;5,090764742;;3,621922042;1,396896328;;4,945920887;0,884541736;0;2,406612333;7,16302083;3,274826178;4,776015569;5,838165693;0;5,391207377;7,048367371;3,873232624;5,056447309;6,313324837;4,654960159;4,752628308;2,38669096;3,167046989;6,278935057;2,530499478;4,566674486;6,190810762;6,318071191;6,834682919;6,597699542;3,365034145;;7,959391627;0;1,995795692;2,724496062;2,662656646;3,16352937;2,23961358;3,659980586;15,90651292;2,542945365;2,594269053;;5,198562105;2,503458966;5,287679355;3,625036555;2,701293585;4,674632666;3,293735068;;2,422430518;2,058385898;3,581128156;6,848095091;3,850893324;7,780163514;5,616006891;4,18360771
2005;;4,217103397;6,695668928;0;0;7,942675471;4,439668545;6,878815511;3,393963831;5,648396592;7,825696803;4,067094235;2,217636323;4,6009509;6,07177692;0,926869608;4,397757348;4,771592458;2,061625244;2,188926877;5,458168688;6,285418688;;5,579234712;5,621470747;3,337404375;1,050007407;0;3,040838598;2,396405002;6,961074519;7,214365062;5,937491546;5,464770371;6,84977402;3,137915912;7,072774397;0;0,323227591;4,736139813;2,228236535;6,060361117;3,971772041;7,318325093;;6,240984597;7,112628181;3,367577036;3,862521252;2,500672291;5,871550084;3,562887978;2,302964402;2,613981894;;5,570751916;4,15631423;6,139299405;4,426238828;3,583435121;8,200138159;1,19763019;2,565465941;5,193704954;4,215701451;5,528015321;6,676393319;2,540414752;2,113279826;6,701504329;7,692627753;3,36056633;4,677485209;2,101457828;5,354196509;1,878179319;2,509794506;6,185964384;0;3,617602754;6,977655359;8,482367255;5,745226811;;4,67633239;2,477685151;3,019496868;5,118613025;2,490838726;3,500370688;7,065107849;;3,232515627;4,863996244;1,727884443;6,216398902;2,642938177;3,390538598;6,252773741;3,170327683;2,63693163;0;4,948430938;2,829482213;3,18424506;0;;1,80806169;3,273098306;3,243589168;4,039486194;5,934008634;2,752445913;3,98311739;7,240136758;1,540306553;7,737013053;4,917287242;3,266806982;7,849276545;3,573626659;5,196030497;;3,622496371;1,427328615;;4,478274167;2,563237648;0;2,437106307;7,164919691;3,269444805;4,666070495;4,607582965;0;5,507128062;7,112464221;3,832572963;5,000234515;6,245328588;4,507917147;4,528469396;2,363152574;2,479978685;6,660236526;2,348779954;4,542154816;5,926839466;6,471259559;6,488908646;6,733959769;3,226137397;;4,872948181;0;3,958737945;2,541360227;2,703033555;3,195589014;2,187965669;3,685670987;7,904781923;2,508879096;2,646836664;;5,034675867;2,433620322;4,768058867;3,532239963;2,623685539;4,806289991;3,316395334;5,98578176;2,532544166;2,083704033;3,620625101;7,16537137;3,87322734;7,721044014;5,707746996;3,430807005
2006;;3,944038487;6,739062484;0;3,541809131;6,806504948;4,496692492;0;3,370556238;5,249458711;7,819968719;4,183134771;2,198301299;5,354931407;4,032875287;0,809435087;4,568791511;2,490938831;1,85376355;2,143084077;5,824972856;5,705025005;;4,598319632;5,854870652;3,470901836;1,181799039;0;3,07237225;2,334509799;0;4,268599743;0,426740799;5,556937181;6,069295869;3,093307236;8,202554117;11,53348128;0,240376591;5,071752894;2,192175877;5,582744859;3,854472774;0;;5,620927651;2,033825758;3,21664604;4,001512013;2,571880574;1,422051499;2,936562934;2,343493982;2,562010165;;5,867036488;4,557369468;6,04560477;3,972721059;3,481444818;8,128029331;0,625071092;2,178660324;5,088121925;2,893864796;5,526713748;4,919562305;2,502423508;2,096901274;6,455286879;7,754774814;5,648618719;4,34388862;2,083119566;6,008309775;3,551503838;2,395141494;6,092358653;0;3,797700187;7,004222837;0;5,413548126;;3,918447408;2,500265222;3,12896869;4,850998993;2,205198595;3,537064837;7,093872189;;3,168528605;4,824782111;1,722579529;5,608633472;2,699389965;3,472767973;6,224052274;3,654665253;2,668545464;7,548626148;3,703644253;2,832897371;3,586351304;0;;1,809051775;3,285941445;3,262369163;3,965128369;5,974239794;2,767940805;6,500862458;7,546559585;1,230829294;0;4,80020405;3,391073833;7,725385275;3,251960441;4,845147303;6,175374044;3,607783055;1,146308537;;5,039252162;1,590347297;0;2,423048707;7,249065498;3,312244495;5,096676854;4,999843276;16,12254343;5,455766343;7,019700184;3,78582159;3,18617478;6,11282536;4,780839164;4,417921129;2,341383371;2,313772911;6,632842427;2,357086529;4,556594993;5,888323858;7,278628454;6,99481825;6,812829504;2,596583644;2,817286725;4,511304085;0;3,985198662;2,715885755;2,676048339;3,297882983;2,179482565;3,707366962;0;2,45042352;2,725703212;;4,824696957;2,496647581;0;3,469030666;2,525437992;4,778079718;3,237888417;0;2,713730796;1,966243823;3,656740966;8,066943436;3,761217696;7,725061325;6,297090634;5,208862059
2007;;3,934994003;6,59213863;0;4,130075953;8,21431543;2,756637558;6,054781192;3,509216147;5,063755266;7,623776827;4,144908651;2,110698502;4,688271105;3,201475018;0,753029786;4,258051294;3,15233866;1,983523801;2,161708725;3,851848924;5,567942165;;4,86013777;5,977069391;3,277718686;1,604539755;;3,097776001;2,207506641;6,768693136;4,986494762;0,588141881;3,440450761;5,107019062;3,104619631;2,475634794;9,454462019;0,173460106;5,154079863;2,213249342;5,774532384;3,824485829;7,876751023;7,779625188;5,362167424;2,845166233;4,369691306;3,962244829;2,472387586;0;2,800134106;2,417923222;2,47902978;;5,760570379;4,18237139;5,917983829;4,378993013;3,447453396;7,77823452;0,380545325;2,126728531;5,458647671;4,310071427;5,203760548;4,748417313;2,499574417;2,105345348;6,741493411;7,70148632;2,769148723;4,287254126;2,219496598;5,87579791;3,309853389;2,323000098;5,662821405;0;3,533505905;7,304200875;0;5,705331379;;3,693897794;3,057761426;3,190920562;4,487526614;2,189625579;3,448529474;7,59427718;;3,159404127;5,024003866;1,738114072;5,484869996;2,873967997;3,604035709;6,045904949;3,616423793;3,068021411;5,267895846;3,250942537;2,896942164;3,245370549;8,05557518;7,755946129;2,176804612;3,336335347;3,662539747;3,989185302;5,84495687;2,703794626;6,619858551;7,502209227;1,37307075;7,074260504;4,754789168;3,476212217;7,619913556;2,850608186;4,535583583;6,055523633;3,580611052;1,123752571;;3,851761149;4,833488396;0;2,361016622;7,414648173;3,40053965;4,589067985;5,511326174;8,069157293;5,289749859;6,303697103;3,549816969;2,07608684;6,038917521;4,722190639;4,711958563;2,294452961;2,43481662;5,550953161;2,321471927;4,46968307;5,475442257;5,632379733;0,775244319;6,760499469;2,840229945;2,53795964;0;0;3,33168973;2,912211405;2,711419871;3,333472037;2,185796987;3,745733856;7,960125898;2,441706488;2,749846784;;4,496495897;2,65415747;5,644544971;3,547191117;2,465042774;4,383850995;3,170819574;5,863133281;2,468848563;2,146765984;3,526188343;6,367427082;3,623643636;6,899341459;5,992779171;3,822015791
2008;6,143618457;3,815925937;6,588931946;;2,409336316;;4,018254218;0;3,537007286;5,098778497;7,354039733;4,632936013;1,903551371;7,943370595;3,507071239;1,238579787;4,681481204;2,995138626;2,181149574;1,971555868;3,262512026;4,109716807;;7,550914542;6,098953467;3,198312054;0,529643509;;3,280296166;2,032534938;5,383469977;5,909404007;2,368764216;5,125656421;4,507750833;3,138652386;6,623931736;6,717419765;0,08293689;4,651208743;1,568207056;6,029377972;3,86822597;7,299727848;7,706203529;5,0549745;1,329920594;3,377031536;3,963754174;2,346692598;0;2,381303206;1,96413904;2,450007686;;5,883568487;3,67736174;6,024723406;3,068161476;3,44269125;6,502004291;1,704261062;1,837265207;3,466409478;4,776504534;3,673451667;5,117742687;1,556126813;2,006917195;6,319510064;7,819610659;1,390645925;4,598158887;1,999152608;5,821761553;2,908578103;1,859970373;5,324707653;0;3,485161746;6,056381203;0;5,429423492;;3,306730781;1,910749778;2,27639865;4,371038828;2,083535703;3,597200321;7,132428773;;3,009566394;4,201521351;1,681737254;5,276350688;2,352003156;3,610836333;6,161218522;3,764111963;2,111969444;5,674722523;5,327407346;2,507704228;3,348338001;1,606152211;7,772787054;1,750360071;3,191430161;3,159875752;3,543979003;6,214679268;3,433576442;6,793579236;7,287905408;1,303277627;4,768867869;4,719920676;3,396805608;7,98882816;3,004260813;0;5,468228802;4,043354252;5,885267754;;4,438858967;8,341983643;0;2,097060444;7,286036989;3,499500192;4,627189407;5,963216175;7,862245669;5,448222092;6,255498283;3,73968429;2,136865463;5,93597867;4,595644584;2,57938125;2,08182832;2,063242687;6,933515337;2,108342266;4,516724095;5,669758807;5,587390223;7,482379065;6,914013832;2,223784591;2,459876133;7,296219499;0;1,648903627;2,044077217;2,552324328;3,363293929;2,018355656;3,804359503;0;2,02476787;2,789510567;;4,359397072;2,388795698;4,159296322;3,610053734;2,403920817;4,23262802;3,382278087;5,988051711;2,45403994;1,82245771;3,646917447;6,263153336;3,526648224;6,763028029;6,313681651;3,723380947
2009;6,099616261;3,651686705;6,328010259;;2,764921033;8,299507084;4,582272038;7,257468175;3,619286992;4,946709518;5,938435783;4,66613684;1,917682625;6,979398823;2,985698554;1,15562604;4,752503293;3,90071202;2,005634214;2,085075833;4,202620512;4,828045817;;5,827238339;5,952896133;3,14667248;0,616872816;;3,361751021;2,023183063;6,739222317;5,06443238;0,68245633;5,636103543;5,063192079;2,960732364;5,852719609;7,26381069;0,096156605;4,845498302;1,607972035;2,331324639;4,20510956;6,892887613;7,286443869;5,389450091;2,230657837;4,289914705;4,40873896;2,33818809;0;2,672107853;2,089592843;2,444224331;5,180107815;5,78803439;4,154408822;5,487428547;2,081182877;3,284645996;5,926744461;1,410334821;1,716710303;3,932210463;4,950000154;3,434213187;4,674397699;1,944480193;2,104719462;6,377490072;7,611455883;1,826244045;4,406539589;1,970260563;6,487087689;1,195465456;1,898586203;5,717062724;;3,649113059;5,810883515;0;5,576529835;;3,731262735;1,879377362;2,084707749;4,110663606;2,562254122;3,558899467;6,370157613;;3,317942087;3,074991867;1,728623677;4,481287689;2,293597615;3,543948382;6,055297886;3,466553735;2,311973682;4,994026997;5,566284506;2,454929244;3,783265704;2,733474245;7,843754137;1,76627493;2,950773139;3,93470991;3,194482509;6,005582076;3,302395761;4,555126648;0;1,594262612;5,304840609;4,473272566;2,406087867;7,766821585;3,336447323;0;5,0933134;3,493969518;4,87853332;;4,120564786;6,964221434;7,521864185;2,167262054;4,060247452;3,448056654;4,6768047;6,195844039;7,483192817;5,099436048;6,008671081;3,586155885;1,301433293;5,901951774;4,783672922;2,795603041;2,098903661;2,092891698;2,829633087;2,124765118;4,497658741;4,977576107;6,082239381;6,787573175;6,54627996;2,386895532;2,522468377;0;0;1,654815664;1,943433285;2,675924881;3,289199189;2,119369591;3,734681208;7,776181925;1,969921525;2,945566842;;4,676014118;2,439640822;4,009119335;3,051822684;2,323785943;3,269675337;3,019805473;0;2,740298189;1,990874695;3,977125958;5,271963391;2,935560284;7,02927068;6,035249156;2,728295879
2010;6,305763972;3,472533781;5,992420858;;2,751932022;8,291524228;2,485704435;3,88594824;3,764058599;5,178038201;2,430193993;4,89847701;1,960673458;7,464536919;2,934000417;1,063629487;4,723495184;4,280217041;2,247803055;2,020909082;3,329314705;4,947211942;;4,401323114;5,888076862;3,10711832;0,561336416;0;3,636044185;2,106836039;7,221510446;6,211842589;1,166289541;5,371768789;5,169259039;3,113966806;7,415340676;7,106332381;0,070503525;5,107436696;1,659049646;6,523822812;4,68603908;6,090687855;7,226982431;5,270889512;5,1310518;3,336854947;4,702126524;2,248720349;0;2,449869578;2,116280411;2,52830276;1,38319536;5,675846222;3,945700031;5,640283028;2,029586916;3,260943886;6,433110892;1,987167877;1,653078899;4,010401184;4,892399719;3,663201543;4,810849756;1,832553312;2,165962281;5,448845952;7,500851084;2,042596072;4,666531696;2,004715729;6,190399928;0,565601941;1,821187064;5,999703256;0;3,64345466;6,074564231;0;5,679955618;;3,709869286;1,866164957;2,015268234;4,455708392;2,277030756;3,567618722;6,607230937;;3,400613526;3,407307748;1,650095678;4,153010332;2,342387246;3,645660289;6,268480072;3,559212704;2,312445953;5,047146872;5,544299148;2,477728237;3,784422357;2,273321807;7,837848327;1,626407267;3,013654273;2,840562907;2,700797735;5,259799594;2,47150733;4,973475195;6,908497294;1,117898085;2,334075601;4,267172695;2,631377141;7,793234698;3,153437951;9,11952327;5,170035019;3,698474998;5,529636689;6,389421099;4,13699919;7,133933992;3,830668207;2,063007195;7,23257507;3,570415096;4,943139014;5,227155451;6,06535995;5,217543574;6,221487354;3,596861993;1,396853822;5,901602385;4,75759049;6,319765193;2,039805926;2,09138055;2,436260263;2,042830743;4,534148625;5,419223798;5,608475257;5,971774094;6,703554566;2,605217271;2,630733826;6,856252753;0;2,018632531;2,013780184;2,643465173;3,053003992;2,069262974;3,785699264;7,854208264;1,936713808;2,963411788;;4,290013293;2,441518505;3,785330967;3,066383863;2,208463984;3,236850739;3,031493081;0;2,478690012;1,899641838;3,901086858;5,582638063;2,784339299;6,816245824;6,182753023;2,926656189
